year,month,day,MJO_120W
2015,2,12,0.67
2015,2,17,-0.31
2015,2,22,-0.01
2015,2,27,-0.67
2015,3,4,-1.87
2015,3,9,-3.19
2015,3,14,-1.06
2015,3,19,1.54
2015,3,24,1.1
2015,3,29,0.25
2015,4,3,-1.17
2015,4,8,-1.39
2015,4,13,-0.35
2015,4,18,-0.53
2015,4,23,-1.17
2015,4,28,-1.16
2015,5,3,-1
2015,5,8,-1.26
2015,5,13,-1.1
2015,5,18,-0.3
2015,5,23,-0.36
2015,5,28,0.19
2015,6,2,0.79
2015,6,7,1.43
2015,6,12,-0.48
2015,6,17,-1.77
2015,6,22,-2.49
2015,6,27,-2.74
2015,7,2,-1.67
2015,7,7,0.18
2015,7,12,0.58
2015,7,17,1.37
2015,7,22,0.44
2015,7,27,-0.31
2015,8,1,-0.41
2015,8,6,-0.24
2015,8,11,-0.62
2015,8,16,0.05
2015,8,21,0.42
2015,8,26,0.4
2015,8,31,0.02
2015,9,5,0.56
2015,9,10,-0.36
2015,9,15,0.2
2015,9,20,-0.3
2015,9,25,-0.86
2015,9,30,-0.17
2015,10,5,-0.6
2015,10,10,-0.75
2015,10,15,-0.2
2015,10,20,0.36
2015,10,25,1.51
2015,10,30,1.45
2015,11,4,0.7
2015,11,9,-0.28
2015,11,14,0.08
2015,11,19,0.53
2015,11,24,-0.59
2015,11,29,-1.51
2015,12,4,-0.68
2015,12,9,-0.3
2015,12,14,-1.21
2015,12,19,-2.33
2015,12,24,-2.02
2015,12,29,-1.6
2016,1,3,-0.64
2016,1,8,0.94
2016,1,13,0.57
2016,1,18,-0.28
2016,1,23,-0.42
2016,1,28,-1.46
2016,2,2,-0.6
2016,2,7,-1.07
2016,2,12,-1.37
2016,2,17,-1.15
2016,2,22,-0.29
2016,2,27,0.24
2016,3,4,1.16
2016,3,9,1.1
2016,3,14,0.09
2016,3,19,-1.67
2016,3,24,-1.62
2016,3,29,-0.19
2016,4,3,0.18
2016,4,8,-0.72
2016,4,13,-0.63
2016,4,18,-0.61
2016,4,23,0.11
2016,4,28,0.55
2016,5,3,1.12
2016,5,8,1.05
2016,5,13,0.25
2016,5,18,-0.64
2016,5,23,-0.94
2016,5,28,-0.05
2016,6,2,-0.3
2016,6,7,0.16
2016,6,12,0.95
2016,6,17,0.36
2016,6,22,-0.99
2016,6,27,-1.68
2016,7,2,-0.62
2016,7,7,0.27
2016,7,12,0.32
2016,7,17,1.33
2016,7,22,1.44
2016,7,27,-0.19
2016,8,1,-0.08
2016,8,6,-0.44
2016,8,11,-0.52
2016,8,16,-0.51
2016,8,21,-0.94
2016,8,26,-0.38
2016,8,31,0.51
2016,9,5,0.36
2016,9,10,0.48
2016,9,15,-0.79
2016,9,20,-1.44
2016,9,25,-0.79
2016,9,30,-1.07
2016,10,5,-1.24
2016,10,10,-0.98
2016,10,15,-0.46
2016,10,20,0.12
2016,10,25,-0.18
2016,10,30,-0.24
2016,11,4,-0.78
2016,11,9,-0.43
2016,11,14,1.57
2016,11,19,0.85
2016,11,24,-0.38
2016,11,29,-0.84
2016,12,4,-0.2
2016,12,9,-0.31
2016,12,14,-1.14
2016,12,19,-1.33
2016,12,24,-0.88
2016,12,29,-0.58
2017,1,3,-0.62
2017,1,8,-1.19
2017,1,13,0.08
2017,1,18,1.58
2017,1,23,0.54
2017,1,28,-0.65
2017,2,2,-1.37
2017,2,7,-1.18
2017,2,12,1.48
2017,2,17,2.16
2017,2,22,1.34
2017,2,27,0.65
2017,3,4,-0.84
2017,3,9,-0.87
2017,3,14,-1.08
2017,3,19,-0.91
2017,3,24,-0.69
2017,3,29,-0.56
2017,4,3,-0.9
2017,4,8,-0.71
2017,4,13,-0.33
2017,4,18,-0.02
2017,4,23,-0.74
2017,4,28,-0.35
2017,5,3,0.88
2017,5,8,1.34
2017,5,13,1.14
2017,5,18,-0.6
2017,5,23,-0.74
2017,5,28,0.47
2017,6,2,-1.58
2017,6,7,0.1
2017,6,12,0.36
2017,6,17,0.48
2017,6,22,-0.47
2017,6,27,-0.19
2017,7,2,-0.81
2017,7,7,-0.73
2017,7,12,-0.63
2017,7,17,-0.31
2017,7,22,-1.45
2017,7,27,-1.06
2017,8,1,-0.1
2017,8,6,0.08
2017,8,11,0.54
2017,8,16,0.49
2017,8,21,0.08
2017,8,26,0.64
2017,8,31,-0.64
2017,9,5,-0.37
2017,9,10,0.41
2017,9,15,-0.43
2017,9,20,-0.53
2017,9,25,0.25
2017,9,30,-0.35
2017,10,5,0.03
2017,10,10,-1.27
2017,10,15,-2.62
2017,10,20,-2.97
2017,10,25,-0.7
2017,10,30,0.82
2017,11,4,1.43
2017,11,9,-0.56
2017,11,14,-0.4
2017,11,19,-0.54
2017,11,24,-0.09
2017,11,29,-0.96
2017,12,4,-1.89
2017,12,9,-0.35
2017,12,14,-0.71
2017,12,19,-0.85
2017,12,24,0.4
2017,12,29,1.11
2018,1,3,0.28
2018,1,8,0.34
2018,1,13,-0.65
2018,1,18,-1.34
2018,1,23,-1.76
2018,1,28,-1.96
2018,2,2,-0.63
2018,2,7,0.02
2018,2,12,-0.59
2018,2,17,-0.26
2018,2,22,1.62
2018,2,27,0.88
2018,3,4,-0.35
2018,3,9,-0.9
2018,3,14,-0.35
2018,3,19,-1.35
2018,3,24,-1.12
2018,3,29,-0.69
2018,4,3,0.81
2018,4,8,2.09
2018,4,13,1.35
