"year","date","temp_C","site"
2020,20200508,15.83,"ABUR"
2020,20200508,14.6,"AQUE"
2020,20200508,15.86,"MOHK"
2020,20200509,15.91,"ABUR"
2020,20200509,14.67,"AQUE"
2020,20200509,15.94,"MOHK"
2020,20200510,15.84,"ABUR"
2020,20200510,14.73,"AQUE"
2020,20200510,15.87,"MOHK"
2020,20200511,15.13,"ABUR"
2020,20200511,14.13,"AQUE"
2020,20200511,15.15,"MOHK"
2020,20200512,14.85,"ABUR"
2020,20200512,13.96,"AQUE"
2020,20200512,14.86,"MOHK"
2020,20200513,14.74,"ABUR"
2020,20200513,13.74,"AQUE"
2020,20200513,14.8,"MOHK"
2020,20200514,14.85,"ABUR"
2020,20200514,13.67,"AQUE"
2020,20200514,14.91,"MOHK"
2020,20200515,14.76,"ABUR"
2020,20200515,13.71,"AQUE"
2020,20200515,14.81,"MOHK"
2020,20200516,14.66,"ABUR"
2020,20200516,13.92,"AQUE"
2020,20200516,14.7,"MOHK"
2020,20200517,14.9,"ABUR"
2020,20200517,14.18,"AQUE"
2020,20200517,14.93,"MOHK"
2020,20200518,14.57,"ABUR"
2020,20200518,13.93,"AQUE"
2020,20200518,14.63,"MOHK"
2020,20200519,14.25,"ABUR"
2020,20200519,13.77,"AQUE"
2020,20200519,14.32,"MOHK"
2020,20200520,14.6,"ABUR"
2020,20200520,14,"AQUE"
2020,20200520,14.64,"MOHK"
2020,20200521,14.5,"ABUR"
2020,20200521,13.75,"AQUE"
2020,20200521,14.55,"MOHK"
2020,20200522,14.86,"ABUR"
2020,20200522,12.61,"AQUE"
2020,20200522,14.9,"MOHK"
2020,20200523,15.01,"ABUR"
2020,20200523,13.46,"AQUE"
2020,20200523,15.05,"MOHK"
2020,20200524,14.99,"ABUR"
2020,20200524,13.51,"AQUE"
2020,20200524,15.02,"MOHK"
2020,20200525,14.95,"ABUR"
2020,20200525,13.2,"AQUE"
2020,20200525,15,"MOHK"
2020,20200526,15.42,"ABUR"
2020,20200526,14,"AQUE"
2020,20200526,15.46,"MOHK"
2020,20200527,15.42,"ABUR"
2020,20200527,14.15,"AQUE"
2020,20200527,15.45,"MOHK"
2020,20200528,15.34,"ABUR"
2020,20200528,14.54,"AQUE"
2020,20200528,15.36,"MOHK"
2020,20200529,15.92,"ABUR"
2020,20200529,15.65,"AQUE"
2020,20200529,15.92,"MOHK"
2020,20200530,16.08,"ABUR"
2020,20200530,15.91,"AQUE"
2020,20200530,16.07,"MOHK"
2020,20200531,16.3,"ABUR"
2020,20200531,16.31,"AQUE"
2020,20200531,16.29,"MOHK"
2020,20200601,16.43,"ABUR"
2020,20200601,16.16,"AQUE"
2020,20200601,16.43,"MOHK"
2020,20200602,16.53,"ABUR"
2020,20200602,15.8,"AQUE"
2020,20200602,16.53,"MOHK"
2020,20200603,16.33,"ABUR"
2020,20200603,15.02,"AQUE"
2020,20200603,16.37,"MOHK"
2020,20200604,16.32,"ABUR"
2020,20200604,15.53,"AQUE"
2020,20200604,16.33,"MOHK"
2020,20200605,16.48,"ABUR"
2020,20200605,15.85,"AQUE"
2020,20200605,16.46,"MOHK"
2020,20200606,16.74,"ABUR"
2020,20200606,16.12,"AQUE"
2020,20200606,16.71,"MOHK"
2020,20200607,16.52,"ABUR"
2020,20200607,15.95,"AQUE"
2020,20200607,16.58,"MOHK"
2020,20200608,16.21,"ABUR"
2020,20200608,14.88,"AQUE"
2020,20200608,16.37,"MOHK"
2020,20200609,16.26,"ABUR"
2020,20200609,14.22,"AQUE"
2020,20200609,16.36,"MOHK"
2020,20200610,16.08,"ABUR"
2020,20200610,13.99,"AQUE"
2020,20200610,16.15,"MOHK"
2020,20200611,16.46,"ABUR"
2020,20200611,14.78,"AQUE"
2020,20200611,16.5,"MOHK"
2020,20200612,16.76,"ABUR"
2020,20200612,15.44,"AQUE"
2020,20200612,16.78,"MOHK"
2020,20200613,16.75,"ABUR"
2020,20200613,15.21,"AQUE"
2020,20200613,16.77,"MOHK"
2020,20200614,16.6,"ABUR"
2020,20200614,14.85,"AQUE"
2020,20200614,16.63,"MOHK"
2020,20200615,16.5,"ABUR"
